"AAPL","AMZN","MSFT","KO","PEP","JPM","BAC","NKE","ORCL","IBM","PG","WMT","date"
0.0609438521984804,0.29470802919708,-0.0496718377088307,-0.0783653221670393,0.0191250856917564,-0.0632737036189108,0.00111178526048272,0.052529866479269,0.234620886981402,-0.112016469135802,0.0210000000000001,0.0332472184883241,1970-01-02
-0.122168142745654,-0.0063424947145877,-0.0842881808193375,0.0831999999999999,0.00818526652026352,-0.140969137767082,0.0145962562143822,-0.0175262894341511,-0.0370798957126305,-0.0905551588706568,0.0380754162585699,0.0338445815271757,1970-01-03
0.0907832258064516,0.0141843971631206,0.0337676037024339,0.102764254062038,0.0198019801980198,0.218803487179487,0.0636434089132134,0.0195378865103635,-0.229843608312659,0.0599265880576869,0.0625073239768841,-0.0114497504096034,1970-01-04
0.0253484622473108,0.167132937062937,-0.133477097215152,0.062189057106355,0.00776702912621352,-0.015427881322419,0.0655690717770696,-0.111314780869855,-0.215625,-0.194615365384615,0.00188706857085452,-0.0887438513661314,1970-01-05
-0.0399666353440384,0.0922707554061861,-0.0258323392970663,0.000900810697200827,0.00154138722383856,0.0242166110664737,0.0459436232922945,0.00787549221826378,-0.211155378486056,-0.0395177282827668,-0.00786614208140612,-0.0315073929196671,1970-01-06
-0.239485280775059,-0.108612177729018,0.0744450991946575,0.00791933016849078,-0.0727202577914582,-0.0564673975947872,-0.0718902274604992,-0.00186046511627913,0.195707070707071,-0.105034149348694,-0.00279173633537755,0.0168207030247951,1970-01-07
-0.138825990705641,-0.110769230769231,-0.122851919561243,-0.108214321428571,-0.10912866993509,-0.264150929490031,-0.0548607163160887,-0.0812674743709226,0.0570221752903906,-0.0222221944444444,-0.00347151160261983,-0.10598069827234,1970-01-08
-0.0334211009174312,0.0339100346020762,0.0229262609420593,0.0212255114627757,-0.0789473702596034,0.0576923500678024,0.0538346165413532,-0.123960235341854,-0.041958041958042,0.0707385633312909,-0.00382060914306348,0.0874339162261082,1970-01-09
-0.0169490238436707,0.0662650602409638,-0.108801951556563,-0.0596078431372549,-0.0657395212576364,-0.280681818181818,-0.0896118981275142,0,-0.180396246089677,-0.226452595905516,0.00823458526261511,-0.0792819371727749,1970-01-10
0.10827602986925,0.21531707470182,0.22245083573613,-0.0308590492076731,0.193504649702175,0.0926803580832019,0.0940439498432604,0.0928670680870773,0.296437659033079,0.353798673404242,-0.0104050349162013,0.0875303985568483,1970-01-11
-0.0354695750428842,0.20609497902402,0.0787356993179091,-0.0180722891566264,-0.0367346501920477,0.213012048192771,0.00401143243487478,-0.0510701419792328,0.19234543670265,0.101089381781369,-0.0443188035870572,0.00653600385688158,1970-01-12
-0.0754843773568545,-0.191006466809422,-0.103675450762829,-0.039439088518843,-0.00612050376647821,-0.0464839094159715,-0.00727742559139766,-0.00692273336310856,-0.111111111111111,-0.108375497201461,0.0166805161878745,-0.0628943204862961,1970-01-13
0.00209365056258926,0.156696726135348,-0.0820116054158607,-0.0770985401459855,-0.0412127181143366,-0.0275,0.00689958315365824,0.00157409489543503,0.113888888888889,0.00903221935483867,-0.00430535247136732,-0.0536527243576609,1970-01-14
0.0452650543913802,0.00732265446224267,-0.00126418036241049,-0.00593173504695998,-0.0533596837944663,-0.0282776349614396,-0.0115632541577014,0.0410866636731029,-0.00581878636741462,-0.00319693106893593,-0.0433563164660511,0.00543937249873161,1970-01-15
-0.0579614846153919,0.182644298046343,0.0215189020456159,0.00646439550152178,0.0438413361169103,0.045414417989418,-0.0346620749469114,0.108906620659909,-0.0928093645484951,0.00615783218054533,0.0878329342780357,0.0826050336536612,1970-01-16
0.00565742574257433,0.102189777096052,0.056175177867624,-0.00197623517786549,0.081999975,0.237874366844132,0.10786966534229,0.0410346168805913,0.094930875576037,0.0824939691444599,0.00898364923150363,0.0824524520940315,1970-01-17
0.262307106134207,0.250958443675203,-0.0375439577630036,0.127970241189592,0.0212569783100043,0.119591175468484,0.00202555019443351,0.0459555389501214,0.0951178451178449,0.0369846752182645,0.0219254540217129,-0.0658735617897728,1970-01-18
0.0618386560625452,0.0119810814149088,0.0418528223546191,0.0184331797235022,0.00678730753874879,0.0401703883088744,0.0650943700859499,-0.0446508305054474,-0.0768639508070715,-0.0629259533970247,-0.0287519059028533,0.0201482033805702,1970-01-19
0.105980554255859,0.14647574339207,0.0300312414208752,-0.0310277526395173,0.0352808988764044,0.0254534523112933,0.0447931429784421,-0.0327163955879604,-0.00166527893422141,-0.0151515151515151,-0.0146893698138597,0.0417365769232934,1970-01-20
0.072580848687068,0.112391957550239,0.00416508898144641,-0.0322437610743268,-0.0332103103972217,-0.0236804001050042,-0.0402083081022162,0.101275608813297,0.0700583819849874,0.00935387076923067,-0.0066006826766658,0.0583079592201754,1970-01-21
-0.0835913312693498,0.0455526770293611,0.0482654223227752,-0.0128676470588236,0.0289627519316851,0.00321452357643115,-0.0152681388012618,0.0673920673920674,-0.123148869836321,0.07706377083127,0.0633520449077785,-0.0561095168534567,1970-01-22
0.10472972972973,0.123890150733017,-0.0597122323637493,0.0800745344506517,0.0434212941993761,0.0457325927333183,-0.029600153767299,0.050641236435383,0.0640000000000001,0.0130193702474954,0.058931264813618,0.0555058748614459,1970-01-23
-0.0865009174311927,-0.00845120338048866,-0.0164498858626582,0.00215512921745131,0.00627350480970312,-0.0139275758257618,-0.00396149457485817,0.0524256651017214,0.00417710944026717,0.0118461998710484,-0.0208566690405942,-0.0561493120246087,1970-01-24
